contrast,estimate,pvalue
TOP_JUNGLE,0.004712230814281527,9.189599860141564e-05
TOP_MIDDLE,0.005300624568376842,7.185909334828394e-06
TOP_BOTTOM,0.0015450001644237974,0.0605421391897
TOP_UTILITY,0.03261852177317699,9.811990827207166e-86
JUNGLE_TOP,-0.00660226024088318,9.189599860141564e-05
JUNGLE_MIDDLE,0.0022569293121842307,0.043785700510745026
JUNGLE_BOTTOM,-0.00028378583794412554,0.6404285331667694
JUNGLE_UTILITY,0.04392946808449344,1.785961574107689e-97
MIDDLE_TOP,-0.007106729037168355,7.185909334828394e-06
MIDDLE_JUNGLE,-0.0044208324557357,0.043785700510745026
MIDDLE_BOTTOM,-0.0038604484121135714,0.056466282182214216
MIDDLE_UTILITY,0.03549624155188899,9.778697987872282e-70
BOTTOM_TOP,-0.0031949860562441234,0.0605421391897
BOTTOM_JUNGLE,-0.001707426076118459,0.6404285331667694
BOTTOM_MIDDLE,0.0018906174745274807,0.056466282182214216
BOTTOM_UTILITY,0.057291803078764754,3.6267826442154834e-146
UTILITY_TOP,-0.03486528929564086,9.811990827207166e-86
UTILITY_JUNGLE,-0.04675719532133909,1.785961574107689e-97
UTILITY_MIDDLE,-0.038224702413574285,9.778697987872282e-70
UTILITY_BOTTOM,-0.060275207993699564,3.6267826442154834e-146
