contrast,estimate,lower,upper,pvalue
TOP_JUNGLE,0.321,0.163,0.316,0.0
TOP_MIDDLE,0.236,0.109,0.253,0.0
TOP_BOTTOM,0.135,0.046,0.179,0.001
TOP_UTILITY,1.026,0.629,0.794,0.0
JUNGLE_TOP,-0.398,-0.316,-0.163,0.0
JUNGLE_MIDDLE,-0.022,-0.074,0.106,0.734
JUNGLE_BOTTOM,-0.016,-0.067,0.102,0.68
JUNGLE_UTILITY,1.215,0.739,0.951,0.0
MIDDLE_TOP,-0.307,-0.253,-0.109,0.0
MIDDLE_JUNGLE,-0.068,-0.106,0.074,0.734
MIDDLE_BOTTOM,-0.085,-0.11,0.051,0.475
MIDDLE_UTILITY,1.009,0.607,0.806,0.0
BOTTOM_TOP,-0.202,-0.179,-0.046,0.001
BOTTOM_JUNGLE,-0.069,-0.102,0.067,0.68
BOTTOM_MIDDLE,0.004,-0.051,0.11,0.475
BOTTOM_UTILITY,1.461,0.898,1.126,0.0
UTILITY_TOP,-1.108,-0.794,-0.629,0.0
UTILITY_JUNGLE,-1.321,-0.951,-0.739,0.0
UTILITY_MIDDLE,-1.109,-0.806,-0.607,0.0
UTILITY_BOTTOM,-1.575,-1.126,-0.898,0.0
